# SCONJ wo									
# pattern { W[]; X[ upos="SCONJ"]; Y[]; W<X; Y-[mark]->X}									
# cluster by X.form									
	W (if relevant)	X	Y	POS of W (if relevant)	POS of X	head of W (if relevant)	rel of W (if relevant)	head of X	head of Y
expected				(PRON)	SCONJ	Y	nsubj/obj/...	Y	mark
wikisource_Hansl-und-Gretl_24	de	wo	sitz	PRON	ADV	Y	nsubj (correct)	Y	advmod
wikisource_Hansl-und-Gretl_34	de	wo	gleng	PRON	ADV	Y	nsubj (correct)	Y	advmod
wiki_Minga_16 [2/2]		wo	obzweign		ADV			Y	advmod
wiki_Minga_16 [1/2]	d'	wo	kimmt	PRON	ADV	Y	nsubj (correct)	Y	advmod
wiki_Webseitn_2	des	wo	obgruafa	PRON	ADV	Y	nsubj:pass (correct)	Y	advmod
wiki_Minga_28	d'	wo	Wettascheidn	PRON	ADV	Y	nsubj (correct)	Y	advmod
wiki_Minga_34	d'	wo	keman	PRON	ADV	Y	nsubj (correct)	Y	advmod
wiki_Minga_37		wo	keman		ADV			Y	advmod
wiki_Minga_40	dea	wo	lebt	PRON	ADV	Y	nsubj (correct)	Y	advmod
wiki_Schneckn_42	de	wo	gibt	PRON	ADV	Y	obj (correct)	Y	advmod
wiki_Minga_43	dea	wo	schlogt	PRON	ADV	Y	nsubj (correct)	Y	advmod
wiki_Minga_44	s'	wo	erfundn	PRON	ADV	Y	obj (correct)	Y	advmod
wiki_Minga_47	dea	wo	g'head	PRON	ADV	Y	obl (correct)	Y	advmod
wiki_Minga_50-2	de	wo	vastenga	PRON	ADV	Y	nsubj (correct)	Y	advmod
wiki_Fiisch_2	de	wo	lem	PRON	ADV	Y	nsubj (correct)	Y	advmod
wiki_Fiisch_6	de	wo	ähnli	PRON	ADV	Y	nsubj (correct)	Y	advmod
wikitalk_Dischkrian:Bairische-Buechspraach_11	de	wo	erleichtert	PRON	ADV	Y	nsubj (correct)	Y	advmod
wikitalk_Dischkrian:Boarische-Umschrift_17		wo	umbeleng		ADV			Y	advmod
wikisource_Eisenhans_1		wo	ghobt		ADV			Y	advmod
wikisource_Eisenhans_2		wo	schiassn		ADV			Y	advmod
wikisource_Eisenhans_4		wo	suacha		ADV			oth	advmod
wiki_Lamma_5	der	wos	sogt	PRON	PRON	Y	obl (correct)	Y	obj
wikisource_Hansl-und-Gretl_5	der	wos	dareißn	PRON	PRON	oth	obj (should be nsubj)	oth	obj
wiki_Brod_2	des	wos	aussabochn	PRON	PRON	Y	nsubj:pass (correct)	Y	nsubj:pass
wiki_Brod_4	des	wos	gmochd	PRON	PRON	Y	nsubj:pass (correct)	Y	nsubj:pass
wiki_Walsch_5	dia	wos	schmeichelhoft	PRON	PRON	Y	advmod (should be nsubj)	Y	nsubj
wiki_Schneckn_8	den	wos	dakennd	PRON	PRON	Y	obj (correct)	Y	advmod
wiki_Schneckn_10	de	wos	kennd	PRON	PRON	Y	obj (correct)	Y	obj
wiki_Schneckn_11 [2/2]	de	wos	vawaundt	PRON	PRON	Y	nsubj (correct)	Y	nsubj
wiki_Schneckn_12 [2/2]	des	wos	gmocht	PRON	PRON	Y	nsubj (correct)	Y	nsubj
wiki_Schneckn_12 [1/2]	des	wos	gmocht	PRON	PRON	Y	nsubj:pass (should be nsubj)	Y	nsubj:pass
wiki_Schneckn_13	de	wos	gibt	PRON	PRON	Y	nsubj (correct)	Y	obj
wiki_Schneckn_16	de	wos	hod	PRON	PRON	Y	obj (correct)	Y 	nsubj
wiki_Schneckn_26	de	wos	lossn	PRON	PRON	Y	nsubj (correct)	Y	nsubj
wiki_Schneckn_43	de	wos	hod	PRON	PRON	Y	nsubj (correct)	Y	advmod
wiki_Schneckn_52	de	wos	haum	PRON	PRON	Y	nsubj (correct)	Y	nsubj
wiki_Kafää_5	de	wos	anbaut	PRON	PRON	Y	nsubj:pass (correct)	Y	nsubj:pass
wiki_Kafää_21	des	wos	kontrolliad	PRON	PRON	Y	nsubj (should be nsubj:pass)	Y	nsubj
wiki_Kafää_35	de	wos	Zwüllinge	PRON	PRON	Y	nsubj (correct)	Y	nsubj
wiki_Kafää_47	de	wos	stauma	PRON	PRON	Y	nsubj (correct)	Y	nsubj
wiki_Haferltarock_7	de	wej	sordiad	PRON	ADV	Y	nsubj (correct)	Y	advmod
wiki_Haferltarock_10	de	wej	spüllt	PRON	ADV	Y	nsubj (correct)	Y	advmod
wiki_Haferltarock_11	der	wej	sitzt	PRON	ADV	Y	nsubj (correct)	Y	advmod
wiki_Haferltarock_13	de	wej	hoißt	PRON	ADV	Y	obj (correct)	Y	advmod
wiki_Haferltarock_15 [1/2]	Dea	wej	hockt	PRON	ADV	Y	obj (correct)	Y	nsubj
wiki_Haferltarock_19 [2/2]		wej	sitzt		ADV			Y	advmod
wiki_Haferltarock_21		wej	sitzt		ADV			Y	nsubj
wiki_Haferltarock_22 [2/2]	des	wej	midgej	PRON	SCONJ	Y	obj (correct)	Y	mark
wiki_Haferltarock_28 [2/2]	dea	wej	spuit	PRON	ADV	Y	nsubj (correct)	Y	advmod
wiki_Haferltarock_35	dea	wej	ausspuit	PRON	ADV	Y	nsubj (correct)	Y	advmod
wiki_Haferltarock_36 [2/2]		wej	zougem		SCONJ			Y	mark
wiki_Haferltarock_44	de	wej	hod	PRON	ADV	Y	obj (correct)	Y	mark
wiki_Age-of-Empires_11 [2/3]	de	wej	umánandárännánd	PRON	ADV	Y	obj (should be nsubj)	Y	advmod
wikisample_Boarische-Grammatik-Pronomen_28	der	wou	hout	PRON	ADV	Y	nsubj (correct)	oth	parataxis
wikisample_Boarische-Grammatik-Pronomen_29	dean	wou	gschenkt	ADV	ADV	oth	appos (should be obj)	Y	advmod
wikisample_Boarische-Grammatik-Pronomen_30	der	wou	hout	PRON	ADV	oth	acl (should be nsubj)	Y	advmod
wiki_J-Pop_7 [1/2]	daj	wou	auskenna	ADV	ADV	Y	advmod (should be nsubj)	Y	advmod
wiki_J-Pop_9 [1/3]		wou	bekannt		ADV			Y	advmod
									
Correct				46	2	45	40	54	3
Correct if ignoring subtypes				46	2	45	42	54	3
Total				48	58	48	48	58	58
									
# False positives									
wikisample_Boarische-Grammatik-Konjunktiona_83									
wikitalk_Dischkrian:Boarische-Umschrift_6 [3/3]									
wiki_Haferltarock_32									
wiki_Haferltarock_39 [1/2]									
wiki_Haferltarock_41									
wikisample_Boarische-Grammatik-Konjunktiona_84									
wikitalk_Dischkrian:Boarische-Umschrift_4 [3/4]									
wikitalk_Dischkrian:Boarische-Umschrift_4 [1/4]									
wiki_Haferltarock_4									